Modelo,RMSE_Val,MAE_Val,R2_Val,RMSE_Test,MAE_Test,R2_Test,Tiempo_Train_s
Gradient Boosting,3.115510130385027,1.7837576235290107,0.9450665560112801,3.5489926928054847,1.853525917320764,0.9325352826535094,68.21414732933044
LightGBM,3.241220098131766,1.8006627319659079,0.9405440204770525,3.5807025188908486,1.8599887890984719,0.9313243184108349,255.52921319007874
XGBoost,3.296311291060011,1.8364480804425323,0.9385056906685938,3.648179267984417,1.9065340927595675,0.9287116050354332,12.330948829650879
Bagging,3.349114807318893,1.8950997599184582,0.9365197596075713,3.734587708855369,1.9782944732502397,0.9252946298514744,4.193742990493774
Pasting,3.3704154487169125,1.9063949351081237,0.9357097128523352,3.791672698080648,1.992732189453877,0.9229933594112516,3.3273391723632812
CatBoost,3.3927683858925586,1.829379694837633,0.9348541256459802,3.8458820697241682,1.9065354880457566,0.9207756981730644,260.5531132221222
Voting,3.4374629758288204,1.9591574838946415,0.9331264235348948,3.711288107376994,2.022844074974129,0.9262238760141606,7.783336639404297
Baseline (Linear),4.34015741312254,2.3724284540099863,0.8933920838310073,4.566217778057354,2.4276031937067746,0.8883188863314904,0.0
AdaBoost,4.639048860124274,3.1156633107761715,0.8782030577452787,4.806223019452407,3.1428765199970035,0.8762701936599134,96.09190726280212
Baseline (Media),13.294405730421158,8.412954283070952,-0.0002679407981076576,13.672586073836055,8.609499636464477,-0.0013083251714056665,0.0
